feature,mean_abs_shap
ECFP4_636,0.029665353099620265
ECFP4_505,0.023427559068943265
MACCS_96,0.02212513054469537
ECFP4_216,0.015156483258521517
ECFP4_297,0.014407223118027675
MACCS_131,0.013416878045905013
MACCS_113,0.013097019901614389
MACCS_57,0.012169911646700934
ECFP4_561,0.011879109232871953
MACCS_108,0.011419597446396689
MACCS_89,0.010925507572785868
MACCS_103,0.01069827243566523
ECFP4_104,0.009858100973572648
ECFP4_65,0.009749324444669078
ECFP4_491,0.009402866908595368
ECFP4_3,0.009141633896503064
ECFP4_114,0.00888976444123075
ECFP4_335,0.008709150242022798
MACCS_95,0.008574135973526234
ECFP4_831,0.008353497382262858
