feature,mean_abs_shap
ECFP4_236,0.04533018889815923
MACCS_74,0.031830850876977526
MACCS_45,0.03153712871598007
MACCS_76,0.02046086898716471
MACCS_112,0.0161467742850425
ECFP4_428,0.015844692892998606
ECFP4_639,0.01574543646717939
ECFP4_881,0.014934855014036399
ECFP4_926,0.013806829725832822
ECFP4_83,0.013507054094941094
MACCS_146,0.011939600103520352
ECFP4_294,0.0111578856867247
ECFP4_36,0.01114907388798711
ECFP4_656,0.011107167619747461
MACCS_126,0.01085133054030713
ECFP4_695,0.010696493200797668
ECFP4_80,0.010582297983325691
MACCS_132,0.010148421512017808
MACCS_107,0.00979125658178953
ECFP4_736,0.009468463910386393
